site_id,notes
31,"The ABA_1 (entity_id = 105) and ABA_2 (entity_id = 106) entities were sampled from the same flowstone."
32,"This site's elevation has been extracted from the ""NOAA NGDC GLOBE topo"" Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
35,"Entity CUR4 (entity_id = 110) is not actively growing when collected."
36,"Entity DY-1 (entity_id = 111) is not actively growing when collected."
37,"DSSG-4 (entity_id = 112): U-series data only appear in graphic form in the original publication (Aharon et al.2012) not tabular so they are not included here. Cover thickness are from Aharon et al 2010 GCA paper. d18O and d13C precision are from Aharon et al 2017 QSR paper for the Alabama lab."
39,"Entity DA_2005 (entity_id = 442): Information on whether it is actively forming could not be retrieved."
41,"Entity FG01 (entity_id = 117): Information on whether it is actively forming could not be retrieved."
42,"Entity IFK1 (entity_id = 118) is not actively growing when collected."
44,"GK-09-02 (entity_id = 120): Uncertainties for corrected ages were multiplied by 3 to account for uncertainties. This number was chosen arbitrarily."
49,"Entity ML2 (entity_id = 445): Dating samples at depth = 96mm (dating_id = 8143, 8144, 8145, 8146, 8147) were used to build an isochron with mean corrected age of 55700 +/- 490 yrs."
50,"MC3 (entity_id = 126): A linear age-depth model with data from Olster et al. 2009 (https://doi.org/10.1016/j.epsl.2009.10.003) exists, but the present one is the newest as of 31st May 2018."
53,"Entity YD01 (entity_id = 129) had two isotope values at depth = 45mm; records with d18O = -4.478 and d13C = -5.635 were deleted."
55,"The isotope record (7H, entity_id = 133) is a composite of 7H-2 (entity_id = 134) and 7H-3 (entity_id = 135)."
56,"MAR_L (entity_id = 136): Published depths have been converted to distance from top."
57,"Entity SG93 (entity_id = 435): Modern_reference assumed to be BP(1950). All depths have been shifted by 5mm not to have negative values."
58,"Entity SPA12 (entity_id = 138), SPA70 (entity_id = 139), SPA128 (entity_id = 140), SPA127 (entity_id = 141) do not have original_chronologies. Age model for COMNISPA II was produced with iscam."
59,"Entity SZ2 (entity_id = 143) had two isotope values (d18O and d13C) at depth_sample = 177.33mm; these were averaged."
60,"Entity Taurius (entity_id = 144): Information on whether it is actively forming could not be retrieved."
61,"Entity T1 (entity_id = 145): Original publication did not mention of any potential hiatus at depth = 116.031mm."
62,"Entity TR5 (entity_id = 146): Stalagmite has an aragonite habit but mineralogy check was not performed."
65,"WR5 (entity_id = 149) chronology is matched to GC08 (entity_id = 186) from Green Cathedral cave using the AnalySeries software. The site elevation of 250m comes from NOAA/NCEI repository but the elevation of the chambers from which WR12-01 and WR12-12 (entity_id = 685, 686) were retrieved is 120-200masl. No hiatuses reported in original publication."
67,"This site's elevation has been extracted from the ""NOAA NGDC GLOBE topo"" Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
68,"The age model of AF12 (entity_id = 152) is taken from Frumkin et al. (1999, Fig 3) and is only approximate. Extraction was done with ""'get data"" app. Original depth info unknown. There are inconsistencies between the isotope data in Frumkin et al., 2000 and that in NOAA."
70,"AB-DC-09 (entity_id = 158) had 98 sets of samples with the same depth (with the same interp_age but different isotope values (d18O and d13C)); these were averaged."
71,"Entity BAR-II#B (entity_id = 160) had two or more isotope values (d18O and d13C) at depth_sample = 234.5, 232.4, 231.8, 222.95, 222, 183, 182.2, 179.75, 177.4, 172, 162.6, 133.4, 130.6, 129.5, 128.5, 122.4, 120.5, 114.9, 112.1, 103.6, 84.15, 82.05, 80.85, 56.05, 38.6, 20.05mm; these were averaged.// Entity NU2 (entity_id = 397): C14 date at 27mm was not calibrated as it was determined as the location of the 1965 bomb peak. In the original paper, only the recounted 2016 lamina data was present whereas the average of three counts is shown here to include lamina age uncertainty."
72,"Entity POM1 (entity_id=582): Although it contradicts the published age-depth plot, the author stated that the dates at 30.3mm (dating_id=10380) and 298mm (dating_id=10391) were used to construct the original chronology. However, it is suggested to leave these out in age-depth modelling."
74,"V3 (entity_id = 163): In the original age model, only 14C ages were used and 1500 years were subtracted from these ages. This subtraction was made to correct for the dead carbon component (which was considered constant through time). This correction was further justified with the fact that the stalagmite was actively growing at the time of sampling and the U-Th ages supporting a recent age of the tip of the sample. This site's elevation has been extracted from the ""NOAA NGDC GLOBE topo"" Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
76,"Sampling of CC-1 (entity_id = 165) is unconventional: samples are scrippled along a radial cross section and not along the growth axis of the vertical transect. The geology is mixed; CC-1 was collected from a chamber in andesitic hostrock.The raw uncorrected 14C ages in entity_id=165 are not from the original publication. Only dcp corrected 14C ages were available to us. It is not actively growing when collected."
77,"Chau-stm6 (entity_id=166): Detrital Th correction not made in original publication and therefore initial Th data is not existent. U-Th ages for entity_id=166 were calculated using the following decay constants: 234U: 2.835*10^(-6)/yr, 238U: 1.55125*10^(-10)/yr, 230Th: 9.1952*10^(-6)/yr, 232Th: 4.9475*10^(-11)/yr. Decay constants are probably derived from the following papers: 230Th: Meadows et al.,1980, 234U: average value from De Bievre et al. 1971 and Lounsbury and Durham 1971."
78,"Entity CHIL-1 (entity_id = 167) has two samples at depth_sample  = 458mm with the same interp_age but different isotope values. These were averaged."
80,"Entity FR-0510 (entity_id = 172) is not actively growing when collected."
82,"Year when the U/Th chemistry for HW-3 (entity_id = 175) was done assumed to be 2006 CE. This was based on dates of thesis publication and field work."
83,"Min-stm1 (entity_id=176): Detrital Th correction not made in original publication and therefore initialTh data is not existent. U-Th ages for entity_id=176 were calculated using the following decay constants: 234U: 2.835*10^(-6)/yr, 238U: 1.55125*10^(-10)/yr, 230Th: 9.1952*10^(-6)/yr, 232Th: 4.9475*10^(-11)/yr. Decay constants are probably derived from the following papers: 230Th: Meadows et al.,1980, 234U: average value from De Bievre et al. 1971 and Lounsbury and Durham 1971."
86,"Age-depth model for MOD-22 (entity_id = 179) was recalculated. Laminae data for MOD-27 (entity_id = 631) was based on 14C bomb peak. MOD-27 (entity_id = 631)  is a soda straw. Age model for MOD-21 (entity_id = 632) not available from publication. Sisal_chronologies for entity_id=632 were run manually."
88,"Dead carbon fraction as a pMC percentage for POS-STM-4 (entity_id = 181) was calculated using all the values listed in Table 1 of Genty et al. (1998, Earth and Planetary Science Letters 160, 795-809)."
89,"Gib04a (entity_id = 182): The age model was based on counting back annual cycles in d13C which were known to be forced by reversing seasonal ventilation from cave monitoring. Annual cycles in d13C mapped onto the paired laminae. Minima in d13C represents calcite deposited in late winter (April). The age model was validated by the position of the radiocarbon bomb peak and a high correlation between the d18O of net winter calcite and the corresponding weighted mean of monthly rainfall from the GNIP record. Uncertainty of the age model varies from 0 to c. 1980 thereafter +/-1 year for the older part of the record."
91,"PU-2 (entity_id = 184): The upper three dating points (dating_id = 2723, 2724 and 2725) and the respective interp_age do not reproduce the figure from the paper. The author has been asked for help but this question has not been answered in a satisfying way. The sample was collected in 1977. In the original paper, the model was linear but the data the author provided was obtained with a linear between dates model. It is not actively growing when collected."
92,"Keklik1 (entity_id = 185): The DCF is not known. However the method used for age-depth modelling is independent of the knowledge of the DCF and its secular variations.  All measured proxies (d18O, d13C and Sr/Ca) show no long term trend, indicating that the DCF is stationary and justifying this approach. The individual 14C ages were not necessary to calibrate to obtain a reasonable age depth relationship. Corr_age, corr_age_uncert_pos and corr_age_uncert_neg were not used for age-depth modeling. Do not use those values for any new remodelling of an age-depth relation. Age-depth modelling followed the procedure proposed in Lechleitner et al. (2016, QG, https://doi.org/10.1016/j.quageo.2016.05.006 ). The raw isotope values are thought to be largely influenced by in-cave fractionation effects.  In-cave fractionation corrected values are available at https://www.ncdc.noaa.gov/paleo-search/study/23083"
93,"Corr_age in GC08 (entity_id = 186) were modelled assuming constant initial d234U, and three dates around Termination IV were shifted by +5 kyr (within age error). This site's elevation has been extracted from the ""NOAA NGDC GLOBE topo"" Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
94,"A lower resolution record from stalagmite AB2 was published in Burns et al., 2016 but was superseded by Scroxton et al., 2017 - including an enhanced age model. \\ Entity AB2, AB3 (entity_id = 188, 187): Data shown in paper and online at NOAA are either raw values or corrected to aragonite. Data deposited in SISAL has been corrected to calcite, by the original author, to facilitate comparisons. Conversion made using -0.7 for d18O and -2.5 for d13C for 100% aragonite to calcite. \\ AB2 (entity_id = 188): Mixed mineralogy has been converted as a proportion of the mineralogies present, measured by XRD and XRF: 29% calcite between 90.5 (sample_id = 388296) and 105.1mm (sample_id = 388360) and 24% calcite between 1029.2 (sample_id = 388918) and 1096.2mm (sample_id = 388947)."
95,"BC01-07 (entity_id = 191): Modern reference or date of analysis were not specified. Sample was collected in 2001. U-series were analyzed sometime between 2001 and 2016. Dates were converted to BP(1950) assuming 2016 as the year of chemistry."
97,"BMS1 (entity_id = 195) 230Th 232Th 230/232Th data not available."
98,"CC3 (entity_id = 196): Decay constants are:  238U = 1.55125E-10, 234U=2.835E-6, 230Th=9.915E-6, 232Th = 4.948E-11. (230Th/232Th) ratios all >20 and all apart from one (youngest sample) > 100 so, no detrital correction applied. Th isotope ratios reported in Table 1 p. 1024 of McDermott et al. (1999) Quaternary Science Reviews 1021-1038."
99,"DP1_2013 (entity_id = 197) and DP1_2016 (entity_id = 198) are two publications on the same speleothem. DP1_2016 (entity_id = 198) is a high resolution isotope and age resampling of the top 261mm of DP1_2013 (entity_id = 197). DP1_2016 (entity_id = 198) age model contains the top three ages from DP1_2013 (entity_id = 197). This site's elevation has been extracted from the ""NOAA NGDC GLOBE topo"" Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
100,"Annual laminae information for K1 (entity_id = 199) and K3 (entity_id = 200) not available. K1 (entity_id=199) and K3 (entity_id=200): Detrital Th correction not made in original publication and therefore initialTh data is not existent."
102,"Elevation is an average of a range provided in the publications: 540-600 m asl. Geology is mixed (limestone and marble). Entity K11 (entity_id = 202) is missing depth information. K1 (entity_id=450): Detrital Th correction not made in original publication and therefore initialTh data is not existent."
103,"Entity LD12 (entity_id = 203): Stalagmite has an aragonite habit but mineralogy check was not performed."
104,"LR06-B1_2016 (entity_id = 226) and LR06-B3_2016 (entity_id = 227) are high resolution resamplings of the top 2000 years of LR06-B1_2009 (entity_id = 204) and LR06-B3_2009 (entity_id = 205), respectively. New ages recalculated with Cheng et al., 2013 and updated detrital thorium correction are used.// LR06-B3_2013 (entity_id = 367) supersedes original record of LR06-B3_2009 (entity_id = 205) and extends beyond hiatus.// The d18O time-series for each Liang Luar stalagmite was resampled at 100-year resolution and then averaged to produce a composite d18O record for Flores (LL_Comp_2013; entity_id = 372).//  Entity LR06-C6 (entity_id = 371) had two samples at depth_sample = 722.1mm,  these were averaged."
105,"The sisal_chronology age models of entity_id=663 were run manually"
107,"YOKG (entity_id = 210): Chronology was built by counting annual cycles in d13C, anchored to 14C bomb spike."
108,"CL26 (entity_id = 212): Decay constants are:  238U = 1.55125E-10, 234U=2.835E-6, 230Th=9.915E-6, 232Th = 4.948E-11 . (230Th/232Th) ratios all greater than 50, so no detrital correction applied. Relict aragonite is preserved in very short intervals, several of which can be seen in the occasional spikes in d13C (3 arrows in upper part of figure 4c in McDermott et al., 1999)."
113,"This site's elevation has been extracted from the ""NOAA NGDC GLOBE topo"" Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/ The sisal_chronology age models for entity_id=38 were run manually."
115,"Entity HOL-16 (entity_id = 231), HOL-17 (entity_id = 232) and HOL-18 (entity_id = 233) do not have individual age models in original publication. Entity HOL-19 (entity_id = 664): date at 199.5mm depth (dating_id = 11701) is an isochron age and all hiatuses are thick sections of calcified sand (ca. 5cm) and technically not hiatuses. The sisal_chronology age models for entity_id=231, 232 and 233 were run manually."
116,"Entity BA04 (entity_id = 237): Partin et al., 2007 has d18O, Partin et al. 2013 has d13C, Mg/Ca, Sr/Ca. Information on whether it is actively forming could not be retrieved."
117,"Bu1 (entity_id = 240) and Bu4 (entity_id = 242): Additon of extra Th has been added to some U/Th dating samples (dating_id = 3744, 3757, 3762, 3764, 3765, 3766 and 3767) (see reference for more details)."
121,"TKS (entity_id=252) has unclear U isotope notation in the original paper (dU). Because of this, U isotope data is missing in the dating table."
122,"HS4_2008 (entity_id = 253) and HS4_2013 (entity_id = 254): The floating layer-counted chronology is tied to the 9 Bayesian U/Th ages by sliding the whole floating section to older or younger ages until the minimum average deviation from the U/Th ages is achieved. This layer-counted age model does not refine the absolute chronology for the 8.2 kyr event relative to that achieved from the U/Th chronology, but allows the duration of the event to be constrained at close to annual precision. See supplementary material DOI: 10.1038/ngeo1708 for further details. \\ Entity HS4_2008 (entity_id = 253) is not actively growing when collected."
123,"Entity MB-6 (entity_id = 258) does not have age model in original publication. The sisal_chronologies for entity_id=258 has been run manually"
128,"Entity BCC-10_2019 (entity_id = 682): Samples from the section below 204.75mm in original dataset not included due to age inversions."
133,"RL4_2006 (entity_id = 282), RL4_2016 (entity_id = 283) and RL4_2018 (entity_id = 381) share the same U-Th dates. Their ""decay_constant=other"" because they were calculated using the following decay constants: 234U: 2.835×10^(-6 )/yr and 230Th: 9.195 × 10^(-6)/yr. Duplicate isotope samples of RL4_2006 (entity_id = 282) at depth_sample = 80.1, 78.63, 82.1mm with different interp_age and isotope values have been averaged. RL4_2018 (entity_id = 381) supersedes RL4_2006 (entity_id = 282) and RL4_2016 (entity_id = 283)."
134,"This site's elevation has been extracted from the ""NOAA NGDC GLOBE topo"" Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
136,"In all entities from this site (JX-6 (entity_id = 286), JX-2 (entity_id = 287), JX-10 (entity_id = 288) and JX-7 (entity_id = 289)): Average crustal value for initial 230Th/232Th atomic ratio = 4.4 +- 2.2 ppm (assuming bulk earth 232Th/238U value of 3.8). Decay constants are 9.1577E-06 year-1 for 230Th, 2.8263E-06 year-1 for 234U and 1.55125E-10 year-1 for 238U.// JX-6 (entity_id = 286) was corrected for aragonite in the 2013 paper. Original values (0.38 permil lower) are reported here. \\ Entity JX-7 (entity_id = 289) is not actively growing when collected."
137,"Age models for KC-1 (entity_id = 290) and KC-3 (entity_id = 291) and the KC-Composite (entity_id = 282) 18O time series were constructed by linear interpolation using the intra-site correlation age modelling (iscam) software."
138,"Entity M1-2 (entity_id = 481): Originally published in Burns et al., 2003. Chronology was updated in Burns et al., 2004 (10.1126/science.305.5690.1567a), then by A. Mangini (unpublished) and then refined by H. Cheng (unpublished). Age model supplied here is the most recent and deemed the best age model but not the published age model. \\ Entity M1-5 (entity_id = 293): There is a hiatus during most of the Holocene (between depths of 60mm and 88mm). The sampling for isotopic data starts at depths > 88mm."
140,"Entity SB23, SB24, SB34 and TF (entity_id = 486, 487, 491, 494): There are small changes of growth between U/Th dates; the cause is unknown."
141,"Entity So-2 (entity_id = 456): There are 26 sets of samples with repeated interp_age (different sample depths)."
142,"TM-18a (entity_id = 308) and TM-18b (entity_id = 309) correspond to two jointed stalagmites."
145,"CC-5_2009 (entity_id = 317) is a resampled series from CC-5_2005 (entity_id = 314). CC-1_2009 (entity_id = 316) is a resampled series from CC-1_2005 (entity_id = 313). CC-1_2004, CC-1_2009, CC1_2018 (entity_id=313, 316, 665), CC-5_2005, CC-5_2009, CC5_2018 (entity_id=314, 317, 666), CC-7_2009, CC7_2018 (entity_id=318, 667) and CC-28_2007, CC28_2018 (entity_id=315, 668) were collected from a single chamber between 1999 and 2005. "
146,"Entity SSC01, SCH02 (entity_id = 319, 320): Both entities are assumed to be actively growing when collected and the date of collection is assumed to be 2000CE."
148,"Buffalo Cave Flowstone (entity_id = 323): Dating is based on faunal correlation, palaeomagnetic reversals and orbital tuning. The dates provided are tie-points used in the orbital tuning. "
149,"Entity DM05-01 (entity_id = 444): Year of chemistry not certain; assumed to be 2006. Year of collection estimated to be 2005+/-1 CE. Age model data is not available in the publication and only shown in the figure (all dates were used)."
150,"Entity ED1 (entity_id = 325): Uncorrected U-Th dates were used in original publication age-model. Corrected ages have been recalculated by Petra Bajo and John Hellstrom. It was not possible to recover the uncertainties on 232/238 ratio so this uncertainty is estimated to be 1% of the 232/238 ratio value."
151,"Entity GT05-5 (entity_id = 326): no age model in original publication. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline. Actively growing event in 2006 assumed basd on thesis publication and field work dates."
152,"Entity H5 (entity_id = 327): Age model from Fleitmann et al., 2007 - supersedes Neff 2001 - supersedes Burns 1998. Entity H14 (entity_id = 415): There were two d18O measurements (-4.33 and -4.61) at depth = 154.7; these were averaged. Age model for entity H14 is established using both 230Th dating (absolute age) and annual growth band counting (relative age)."
153,"Entity JHU-1 (entity_id = 328) is characterized by sub-mm length visible light-dark laminations, which were inferred to be annual in nature. This is supported by 330Th dates and the strong coherence with the absolute-dated DAN-D d18O profile (entity_id = 278)."
155,"KNI-51-0 (entity_id = 331), KNI-51-3 (entity_id = 332), KNI-51-4 (entity_id = 333), KNI-51-7 (entity_id = 334), KNI-51-10 (entity_id = 335), KNI-51-11 (entity_id = 336), KNI-51-A2-side1 (entity_id = 337), KNI-51-A2-side2 (entity_id = 338), KNI-51-C (entity_id = 339), KNI-51-F (entity_id = 340), KNI-51-G (entity_id = 341), KNI-51-H (entity_id = 342), KNI-51-I (entity_id = 343), KNI-51-J (entity_id = 344), KNI-51-N (entity_id = 345), KNI-51-O (entity_id = 346), KNI-51-A1 (entity_id = 418) and KNI-51-P (entity_id = 419): all samples have been corrected by -1 permil to be a calcite equivalent. In the original paper, entity KN51-10 was arbitrarily offset by -1 permil to match other records; this offset has been removed. \\ 234U/238U values for KNI-51-1 (entity_id = 637) and KNI-51-8 (entity_id = 638) are derived from d234U."
156,"Entity S1 (entity_id = 347) had two isotope values (d18O and d13C) at depth_sample = 29mm; these were averaged, d18O = -4.7938 & -4.4950 and d13C = -8.7769 & -7.7970"
160,"Dating_thickness, lab_num, material_dated, min_weight and max_weight in entity_id 352 and 353 are approximated from standard practices at the GSI lab (i.e. these aren't exact measurements). Entity 353 (2N-HR): Avoid using isotope samples between sample_depths 105.1 and 107.95 mm for studies interested in resolutions lower than 100yrs. The age/depth profile in this section was problematic possibly due to several parallel inter-annual measurements. Original publication for entity_id 352 and 353 does not mention the existence of hiatuses. Soreq-Composite185 (entity_id = 690): First 140kyr from Bar-Matthews et al., 2000 (10.1016/S0009-2541(99)00232-6). Entities which make the Soreq_Composite185 (entity_id=690) = '1-1','2-6','2Z','2-8','1-4','2N','7-2','1-2','8-4','10-12','11-2','2-10','9','3','1-1','3-35','2-5','MN-5','2-22'.  These are not available in SISAL "
161,"Entity Aurora 3 (entity_id = 355): the age model in the original study was linear interpolation between TIMS ages. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline."
162,"Entity Calcite (entity_id = 356): the age model in the original study was linear interpolation between TIMS ages. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline."
163,"Elevations between 60-120m altitude are given in publications for speleothems in site_id=163. Entity GG1 (entity_id = 357) and GG2 (entity_id = 358) do not have age models in original publication. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline. GG1 (entity_id = 357): the basal TIMS date (9104 ka) has a large error because of detrital thorium and so is statistically indistinguishable from the next youngest date (9163 ka), which has a small 2-sigma error. In order to avoid an apparent age reversal, the basal date was therefore assigned a value of 9721 ka."
164,"Entity MAXS (entity_id = 359) does not have age model in original publication. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline. Age at 215 mm depth (dating_id= 11840) used to create interp_age is that published in Williams et al., 2004, which differs from other publications. Exact year of chemistry unknown, but is sometime between 2001-2004. plus/minus 4 years have been subsequently added to interp_age uncertainty."
165,"Entity RK05-1, RK05-3 and RK05-4 (entity_id = 676, 677, 678): Year when the U/Th chemistry was performed assumed to be 2006 based on dates of thesis publication and field work (would not be earlier than 2005). Entity RK-C, RK-A, RK-B, RK05-1, RK05-3 and RK05-4 (entity_id = 360, 674, 675, 676, 677, 678): Age model in original study was linear interpolation between TIMS ages; this update is based on COPRA (Breitenbach et al., 2012) using a PCH spline."
167,"Entity Waiau (entity_id = 363) does not have age model in original publication. The sisal_chronologies for this entity were run manually"
168,"Entity WP-1 (entity_id = 364) does not have an age model in the original publication. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline. This site covers a range of elevations. Here we use 95masl as in Whittaker, 2008."
169,"Entity Doubtful Xanadu (entity_id = 365): the age model in the original study was linear interpolation between TIMS ages. This update is based on COPRA (Breitenbach et al., 2012) using a PCH spline."
170,"Entity S3 (entity_id = 366) is a layer counted stal: The U/Th ages provide evidence of the legitimacy of the layer counting, but are not used in the actual age model. Laminae data not available."
171,"DH samples (entity_id = 373, 374, 375, 376) are mammillary calcite (a subaqueous speleothem). Folia layers are not included in the d18O time series as they cannot be dated. DH2-E Terminal2 (entity_id = 376): There is a folia layer between 47.4 and 57.9 mm (Folia layers are not hiatuses as such, but a change in fabric). DH2-D (entity_id = 374): There are folia layers between 61 and 80.7 mm.  DH2-D (entity_id = 374) has the most reliable chronology. The other records have chronologies that are in part inaccurate because of excess 230-Th issues. Authors do not advise the use of DH2-E (entity_id = 375, 376) and DH2 (entity_id = 373) for palaeoclimate work. Please read the manuscript before using this record. Another record of water depth at Devils hole can be found at: Wendt, K.A., Dublyansky, Y., Moseley, G.E., Cheng. H., Edwards, R.L., Spötl, C. (2018) Moisture availability in the SW United States over the last three glacial-interglacial cycles. Science Advances, 4 (10) eaau1375, 10.1126/sciadv.aau1375"
173,"PDR-1 (entity_id = 378): The latitude and longitude is only available to the nearest degree."
174,"The age model for ZLP1 (entity_id = 379) and ZLP2 (entity_id = 370) has been developed by combining the precise dating of other cave records with layer-counting at ZLP."
177,"CMa (entity_id = 609) and CMb (entity_id = 610) are two small side stalagmites of CM (entity_id = 608, 388). Agemodel of CMa (entity_id = 609) tuned to the agemodel of CM_2019 (entity_id = 608) via the best correlation of the oxygen isotope records. The given uncertainties are the maximum uncertainties derived by the initial stalage age model."
179,"Entity C09-2 (entity_id = 390): Due to the way the age model was constructed (see Warken et al., 2018), lamina counting chronology (dating_lamina) with exact depth, year and uncertainty cannot be provided. The author recommend using the original age model. Bchron (the age model used here) models a short growth slow down at the position of each dating point; this is an artefact from the age model software used and there are no real hiatuses."
180,"Entity CH-1 (entity_id = 391): No depth measurements available due to data collection technique (see Haig et al., 2014). This site's elevation has been extracted from the ""NOAA NGDC GLOBE topo"" Digital Elevation Model: http://iridl.ldeo.columbia.edu/SOURCES/.NOAA/.NGDC/.GLOBE/topo/"
181,"Entity 10FC-02 and 05FC-04 (entity_id = 392, 393): U234/U238 activity ratios were converted from d234U (see Maupin et al., 2014 for methods). Decay constants are: 230Th = 9.1577 e-6 yr-1, and 238U = Jeffey et al., 1971. \\ Entity 05FC-04 (entity_id = 393) is not actively growing when collected."
182,"Entity NK (entity_id = 394): data_DOI_URL and publication_DOI is the DOI of the review paper preprint version."
183,"Entity CP (entity_id = 395): U/Th dates below 240mm are not used because of calcite/aragonite recrystallisation effects."
184,"Entity CR-1 (entity_id = 396): No depth measurements available due to data collection technique (see Haig et al., 2014)"
185,"Entity EXC4 and EXC5 (entity_id = 397, 398): Majority of dating samples were analysed using MC-ICP-MS while some others were analysed using single collector ICP-MS (publication did not specify which ones). U234/U238 activity ratios were converted from d234U (see Toth et al., 2015 for methods; DOI: 10.1038/NCLIMATE2541). Decay constants follows Cheng et al. 2008. The interp_age_uncert_pos and interp_age_uncert_neg are average uncertainties over the entire speleothem."
188,"Entity CH-7 (entity_id = 403): There is a human bone at 95mm, U/Th dates below 72mm are affected by remineralisation processes. A continuous growth rate is assumed below the last unaffected U/Th date."
190,"Entity CWC-1s, CWC-2ss and CWC-3l (entity_id = 405, 406, 407): d18O data originally provided relative to SMOW. Converted to PDB to match d13C data using equation from Allan and Wiggins (1993) (DOI: doi.org/10.1306/CE36576). Analytical precision for isotope data is better than 0.05 permil."
191,"Entity DIB-1 and DIB-2 (entity_id = 408, 409): Isotope precision is better than 0.1 permil. Decay constants are: 230Th = 9.1577 e-6 yr-1, 232Th = 4.9475 e-11 yr-1, 234U = 2.8263 e-6 yr-1, 238U = 1.5513 e-10 yr-1."
