ref_id,citation,publication_DOI
11,"Li, T.-Y., Shen, C.-C., Huang, L.-J., Jiang, X.-Y., Yang, X.-L., Mii, H.-S., Lee, S.-Y. and Lo, L.: Stalagmite-inferred variability of the Asian summer monsoon during the penultimate glacial–interglacial period, Clim. Past, 10(3), 1211–1219, 2014.",10.5194/cp-10-1211-2014
12,"Han, L.-Y., Li, T.-Y., Cheng, H., Edwards, R. L., Shen, C.-C., Li, H.-C., Huang, C.-X., Li, J.-Y., Yuan, N., Wang, H.-B., Zhang, T.-T. and Zhao, X.: Potential influence of temperature changes in the Southern Hemisphere on the evolution of the Asian summer monsoon during the last glacial period, Quat. Int., 392, 239–250, 2016.",10.1016/j.quaint.2015.05.068
13,"Li, T.-Y., Han, L.-Y., Cheng, H., Edwards, R. L., Shen, C.-C., Li, H.-C., Li, J.-Y., Huang, C.-X., Zhang, T.-T. and Zhao, X.: Evolution of the Asian summer monsoon during Dansgaard/Oeschger events 13–17 recorded in a stalagmite constrained by high-precision chronology from southwest China, Quat. Res., 88(1), 121–128, 2017.",10.1017/qua.2017.22
14,"Zhang, T.-T., Li, T.-Y., Cheng, H., Edwards, R. L., Shen, C.-C., Spötl, C., Li, H.-C., Han, L.-Y., Li, J.-Y., Huang, C.-X. and Zhao, X.: Stalagmite-inferred centennial variability of the Asian summer monsoon in southwest China between 58 and 79 ka BP, Quat. Sci. Rev., 160, 1–12, 2017.",10.1016/j.quascirev.2017.02.003
15,"Wang, Y. J.: A High-Resolution Absolute-Dated Late Pleistocene Monsoon Record from Hulu Cave, China, Science (80-. )., 294(5550), 2345–2348, 2001.",10.1126/science.1064618
16,"Repinski, P., Holmgren, K., Lauritzen, S. E. and Lee-Thorp, J. A.: A late Holocene climate record from a stalagmite, Cold Air Cave, Northern Province, South Africa, Palaeogeogr. Palaeoclimatol. Palaeoecol., 150(3–4), 269–277, 1999.",10.1016/s0031-0182(98)00223-5
17,"Holmgren, K., Karlén, W., Lauritzen, S. E., Lee-Thorp, J. A., Partridge, T. C., Piketh, S., Repinski, P., Stevenson, C., Svanered, O. and Tyson, P. D.: A 3000-year high-resolution stalagmitebased record of palaeoclimate for northeastern South Africa, The Holocene, 9(3), 295–309, 1999.",10.1191/095968399672625464
18,"Lee-Thorp, J. A., Holmgren, K., Lauritzen, S.-E., Linge, H., Moberg, A., Partridge, T. C., Stevenson, C. and Tyson, P. D.: Rapid climate shifts in the southern African interior throughout the Mid to Late Holocene, Geophys. Res. Lett., 28(23), 4507–4510, 2001.",10.1029/2000gl012728
19,"Holmgren, K., Lee-Thorp, J. A., Cooper, G. R. J., Lundblad, K., Partridge, T. C., Scott, L., Sithaldeen, R., Talma, A. S. and Tyson, P. D.: Persistent millennial-scale climatic variability over the past 25,000 years in Southern Africa, Quat. Sci. Rev., 22(21–22), 2311–2326, 2003.",10.1016/s0277-3791(03)00204-x
20,"Sundqvist, H. S., Holmgren, K., Fohlmeister, J., Zhang, Q., Matthews, M. B., Spötl, C. and Körnich, H.: Evidence of a large cooling between 1690 and 1740 AD in southern Africa, Sci. Rep., 3(1), 1767, 2013.",10.1038/srep01767
21,"Stevenson, C., Lee-Thorp, J. A. and Holmgren, K.: A 3000-year isotopic record from a stalagmite in Cold Air Cave, Makapansgat Valley, Northern Province, S. Afr. J. Sci., 95, 46–48, 1999.","https://hdl.handle.net/10520/AJA00382353_7827 "
23,"Novello, V. F., Cruz, F. W., Vuille, M., Stríkis, N. M., Edwards, R. L., Cheng, H., Emerick, S., de Paula, M. S., Li, X., Barreto, E. de S., Karmann, I. and Santos, R. V: A high-resolution history of the South American Monsoon from Last Glacial Maximum to the Holocene, Sci. Rep., 7, 44267, 2017.",10.1038/srep44267
24,"Cheng, H., Sinha, A., Verheyden, S., Nader, F. H., Li, X. L., Zhang, P. Z., Yin, J. J., Yi, L., Peng, Y. B., Rao, Z. G., Ning, Y. F. and Edwards, R. L.: The climate variability in northern Levant over the past 20,000 years, Geophys. Res. Lett., 42(20), 8641–8650, 2015.",10.1002/2015gl065397
25,"Berkelhammer, M., Sinha, A., Stott, L., Cheng, H., Pausata, F. S. R. and Yoshimura, K.: An Abrupt Shift in the Indian Monsoon 4000 Years Ago, in Climates, Landscapes, and Civilizations, pp. 75–88, American Geophysical Union., 2013.",10.1029/2012gm001207
26,"Breitenbach, S. F. M., Lechleitner, F. A., Meyer, H., Diengdoh, G., Mattey, D. and Marwan, N.: Cave ventilation and rainfall signals in dripwater in a monsoonal setting – a monitoring study from NE India, Chem. Geol., 402, 111–124, 2015.",10.1016/j.chemgeo.2015.03.011
27,"Dutt, S., Gupta, A. K., Clemens, S. C., Cheng, H., Singh, R. K., Kathayat, G. and Edwards, R. L.: Abrupt changes in Indian summer monsoon strength during 33,800 to 5500 years B.P., Geophys. Res. Lett., 42(13), 5526–5532, 2015.",10.1002/2015gl064015
28,"Lechleitner, F. A., Breitenbach, S. F. M., Cheng, H., Plessen, B., Rehfeld, K., Goswami, B., Marwan, N., Eroglu, D., Adkins, J. and Haug, G.: Climatic and in-cave influences on δ18O and δ13C in a stalagmite from northeastern India through the last deglaciation, Quat. Res., 88(3), 458–471, 2017.",10.1017/qua.2017.72
29,"Denniston, R. F., Wyrwoll, K.-H., Asmerom, Y., Polyak, V. J., Humphreys, W. F., Cugley, J., Woods, D., LaPointe, Z., Peota, J. and Greaves, E.: North Atlantic forcing of millennial-scale Indo-Australian monsoon dynamics during the Last Glacial period, Quat. Sci. Rev., 72, 159–168, 2013.",10.1016/j.quascirev.2013.04.012
30,"Lachniet, M. S., Denniston, R. F., Asmerom, Y. and Polyak, V. J.: Orbital control of western North America atmospheric circulation and climate over two glacial cycles, Nat. Commun., 5, 2014.",10.1038/ncomms4805
31,"Shakun, J. D., Burns, S. J., Clark, P. U., Cheng, H. and Edwards, R. L.: Milankovitch-paced Termination II in a Nevada speleothem?, Geophys. Res. Lett., 38(18), n/a-n/a, 2011.",10.1029/2011gl048560
32,"Boch, R., Cheng, H., Spötl, C., Edwards, R. L., Wang, X. and Häuselmann, P.: NALPS: a precisely dated European climate record 120–60 ka, Clim. Past, 7(4), 1247–1259, 2011.",10.5194/cp-7-1247-2011
33,"Genty, D., Massault, M., Gilmour, M., Baker, A., Verheyden, S. and Kepens, E.: Calculation of Past Dead Carbon Proportion and Variability by the Comparison of AMS 14C and Tims U/TH Ages on Two Holocene Stalagmites, Radiocarbon, 41(3), 251–270, 1999.",10.1017/s003382220005712x
34,"Genty, D., Vokal, B., Obelic, B. and Massault, M.: Bomb 14C time history recorded in two modern stalagmites — importance for soil organic matter dynamics and bomb 14C distribution over continents, Earth Planet. Sci. Lett., 160(3–4), 795–809, 1998.",10.1016/s0012-821x(98)00128-9
35,"Vansteenberge, S., Verheyden, S., Cheng, H., Edwards, R. L., Keppens, E. and Claeys, P.: Paleoclimate in continental northwestern Europe during the Eemian and early Weichselian (125–97 ka): insights from a Belgian speleothem, Clim. Past, 12(7), 1445–1458, 2016.",10.5194/cp-12-1445-2016
36,"Tan, L., Cai, Y., An, Z., Edwards, R. L., Cheng, H., Shen, C.-C. and Zhang, H.: Centennial- to decadal-scale monsoon precipitation variability in the semi-humid region, northern China during the last 1860 years: Records from stalagmites in Huangye Cave, The Holocene, 21(2), 287–296, 2010.",10.1177/0959683610378880
37,"Cruz, F. W., Vuille, M., Burns, S. J., Wang, X., Cheng, H., Werner, M., Lawrence Edwards, R., Karmann, I., Auler, A. S. and Nguyen, H.: Orbitally driven east–west antiphasing of South American precipitation, Nat. Geosci., 2(3), 210–214, 2009.",10.1038/ngeo444
38,"Nehme, C., Verheyden, S., Noble, S. R., Farrant, A. R., Sahy, D., Hellstrom, J., Delannoy, J. J. and Claeys, P.: Reconstruction of MIS 5 climate in the central Levant using a stalagmite from Kanaan Cave, Lebanon, Clim. Past, 11(12), 1785–1799, 2015.",10.5194/cp-11-1785-2015
39,"Carolin, S. A., Cobb, K. M., Adkins, J. F., Clark, B., Conroy, J. L., Lejau, S., Malang, J. and Tuen, A. A.: Varied Response of Western Pacific Hydrology to Climate Forcings over the Last Glacial Period, Science (80-. )., 340(6140), 1564–1566, 2013.",10.1126/science.1233797
40,"Baker, A., Wilson, R., Fairchild, I. J., Franke, J., Spötl, C., Mattey, D., Trouet, V. and Fuller, L.: High resolution δ18O and δ13C records from an annually laminated Scottish stalagmite and relationship with last millennium climate, Glob. Planet. Change, 79(3–4), 303–311, 2011.",10.1016/j.gloplacha.2010.12.007
41,"Baker, A., Bradley, C., Phipps, S. J., Fischer, M., Fairchild, I. J., Fuller, L., Spötl, C. and Azcurra, C.: Millennial-length forward models and pseudoproxies of stalagmite &delta;18O: an example from NW Scotland, Clim. Past, 8(4), 1153–1167, 2012.",10.5194/cp-8-1153-2012
42,"Baker, A., Asrat, A., Fairchild, I. J., Leng, M. J., Wynn, P. M., Bryant, C., Genty, D. and Umer, M.: Analysis of the climate signal contained within δ18O and growth rate parameters in two Ethiopian stalagmites, Geochim. Cosmochim. Acta, 71(12), 2975–2988, 2007.",10.1016/j.gca.2007.03.029
43,"Asrat, A., Baker, A., Leng, M., Gunn, J. and Umer, M.: Environmental monitoring in the Mechara caves, Southeastern Ethiopia: implications for speleothem palaeoclimate studies, Int. J. Speleol., 37(3), 207–220, 2008.",10.5038/1827-806x.37.3.5
44,"Strikis, N. M., Cruz, F. W., Cheng, H., Karmann, I., Edwards, R. L., Vuille, M., Wang, X., de Paula, M. S., Novello, V. F. and Auler, A. S.: Abrupt variations in South American monsoon rainfall during the Holocene based on a speleothem record from central-eastern Brazil, Geology, 39(11), 1075–1078, 2011.",10.1130/g32098.1
45,"Stríkis, N. M., Chiessi, C. M., Cruz, F. W., Vuille, M., Cheng, H., de Souza Barreto, E. A., Mollenhauer, G., Kasten, S., Karmann, I., Edwards, R. L., Bernal, J. P. and Sales, H. dos R.: Timing and structure of Mega-SACZ events during Heinrich Stadial 1, Geophys. Res. Lett., 42(13), 5477–5484A, 2015.",10.1002/2015gl064048
46,"Apaéstegui, J., Cruz, F. W., Sifeddine, A., Vuille, M., Espinoza, J. C., Guyot, J. L., Khodri, M., Strikis, N., Santos, R. V, Cheng, H., Edwards, L., Carvalho, E. and Santini, W.: Hydroclimate variability of the northwestern Amazon Basin near the Andean foothills of Peru related to the South American Monsoon System during the last 1600 years, Clim. Past, 10(6), 1967–1981, 2014.",10.5194/cp-10-1967-2014
47,"Wortham, B. E., Wong, C. I., Silva, L. C. R., McGee, D., Montañez, I. P., Troy Rasbury, E., Cooper, K. M., Sharp, W. D., Glessner, J. J. G. and Santos, R. V: Assessing response of local moisture conditions in central Brazil to variability in regional monsoon intensity using speleothem 87 Sr/ 86 Sr values, Earth Planet. Sci. Lett., 463, 310–322, 2017.",10.1016/j.epsl.2017.01.034
48,"Lone, M. A., Ahmad, S. M., Dung, N. C., Shen, C.-C., Raza, W. and Kumar, A.: Speleothem based 1000-year high resolution record of Indian monsoon variability during the last deglaciation, Palaeogeogr. Palaeoclimatol. Palaeoecol., 395, 1–8, 2014.",10.1016/j.palaeo.2013.12.010
49,"Treble, P. C., Baker, A., Ayliffe, L. K., Cohen, T. J., Hellstrom, J. C., Gagan, M. K., Frisia, S., Drysdale, R. N., Griffiths, A. D. and Borsato, A.: Hydroclimate of the Last Glacial Maximum and deglaciation in southern Australia’s arid margin interpreted from speleothem records (23–15 ka), Clim. Past, 13(6), 667–687, 2017.",10.5194/cp-13-667-2017
50,"Holmgren, K., Karlén, W. and Shaw, P. A.: Paleoclimatic Significance of the Stable Isotopic Composition and Petrology of a Late Pleistocene Stalagmite from Botswana, Quat. Res., 43(3), 320–328, 1995.",10.1006/qres.1995.1038
51,"Holmgren, K., Lauritzen, S.-E. and Possnert, G.: 230Th234U and 14C dating of a late Pleistocene stalagmite in Lobatse II Cave, Botswana, Quat. Sci. Rev., 13(2), 111–119, 1994.",10.1016/0277-3791(94)90036-1
52,"Koltai, G., Spötl, C., Shen, C.-C., Wu, C.-C., Rao, Z., Palcsu, L., Kele, S., Surányi, G. and Bárány-Kevei, I.: A penultimate glacial climate record from southern Hungary, J. Quat. Sci., 32(7), 946–956, 2017.",10.1002/jqs.2968
53,"Voarintsoa, N. R. G., Railsback, L. B., Brook, G. A., Wang, L., Kathayat, G., Cheng, H., Li, X., Edwards, R. L., Rakotondrazafy, A. F. M. and Madison Razanatseheno, M. O.: Three distinct Holocene intervals revealed in NW Madagascar: evidence from two stalagmites from two caves, and implications for ITCZ dynamics, Clim. Past 13, 1771–1790, 2017.",10.5194/cp-13-1771-2017
54,"Baker, A., Asrat, A., Fairchild, I. J., Leng, M. J., Thomas, L., Widmann, M., Jex, C. N., Dong, B., van Calsteren, P. and Bryant, C.: Decadal-scale rainfall variability in Ethiopia recorded in an annually laminated, Holocene-age, stalagmite, The Holocene, 20(6), 827–836, 2010.",10.1177/0959683610365934
55,"Bernal, J. P., Lachniet, M., McCulloch, M., Mortimer, G., Morales, P. and Cienfuegos, E.: A speleothem record of Holocene climate variability from southwestern Mexico, Quat. Res., 75(1), 104–113, 2011.",10.1016/j.yqres.2010.09.002
56,"Novello, V. F., Vuille, M., Cruz, F. W., Stríkis, N. M., de Paula, M. S., Edwards, R. L., Cheng, H., Karmann, I., Jaqueto, P. F., Trindade, R. I. F., Hartmann, G. A. and Moquet, J. S.: Centennial-scale solar forcing of the South American Monsoon System recorded in stalagmites, Sci. Rep., 6(1), 24762, 2016.",10.1038/srep24762
57,"Tan, L., Cai, Y., Cheng, H., An, Z. and Edwards, R. L.: Summer monsoon precipitation variations in central China over the past 750years derived from a high-resolution absolute-dated stalagmite, Palaeogeogr. Palaeoclimatol. Palaeoecol., 280(3–4), 432–439, 2009.",10.1016/j.palaeo.2009.06.030
58,"Novello, V. F., Cruz, F. W., Karmann, I., Burns, S. J., Stríkis, N. M., Vuille, M., Cheng, H., Lawrence Edwards, R., Santos, R. V, Frigo, E. and Barreto, E. A. S.: Multidecadal climate variability in Brazil’s Nordeste during the last 3000 years based on speleothem isotope records, Geophys. Res. Lett., 39(23), n/a-n/a, 2012.",10.1029/2012gl053936
59,"Ponte, J. M., Font, E., Veiga-Pires, C., Hillaire-Marcel, C. and Ghaleb, B.: The effect of speleothem surface slope on the remanent magnetic inclination, J. Geophys. Res. Solid Earth, 122(6), 4143–4156, 2017.",10.1002/2016jb013789
61,"Sone, T., Kano, A., Okumura, T., Kashiwagi, K., Hori, M., Jiang, X. and Shen, C.-C.: Holocene stalagmite oxygen isotopic record from the Japan Sea side of the Japanese Islands, as a new proxy of the East Asian winter monsoon, Quat. Sci. Rev., 75, 150–160, 2013.",10.1016/j.quascirev.2013.06.019
62,"Ait Brahim, Y., Cheng, H., Sifeddine, A., Wassenburg, J. A., Cruz, F. W., Khodri, M., Sha, L., Pérez-Zanón, N., Beraaouz, E. H., Apaéstegui, J., Guyot, J.-L., Jochum, K. P. and Bouchaou, L.: Speleothem records decadal to multidecadal hydroclimate variations in southwestern Morocco during the last millennium, Earth Planet. Sci. Lett., 476, 1–10, 2017.",10.1016/j.epsl.2017.07.045
63,"Kotlia, B. S., Singh, A. K., Sanwal, J., Raza, W., Ahmad, S. M., Joshi, L. M., Sirohi, M., Sharma, A. K., and Sagar, N.: Stalagmite Inferred High Resolution Climatic Changes through Pleistocene-Holocene Transition in Northwest Indian Himalaya, J. Earth Sci. Clim. Change, 7(3), 2016.",10.4172/2157-7617.1000338
64,"Finné, M., Bar-Matthews, M., Holmgren, K., Sundqvist, H. S., Liakopoulos, I. and Zhang, Q.: Speleothem evidence for late Holocene climate variability and floods in Southern Greece, Quat. Res., 81(2), 213–227, 2014.",10.1016/j.yqres.2013.12.009
65,"Ma, Z.-B., Cheng, H., Tan, M., Edwards, R. L., Li, H.-C., You, C.-F., Duan, W.-H., Wang, X. and Kelly, M. J.: Timing and structure of the Younger Dryas event in northern China, Quat. Sci. Rev., 41, 83–93, 2012.",10.1016/j.quascirev.2012.03.006
66,"Sundqvist, H. S., Holmgren, K. and Lauritzen, S.-E.: Stable isotope variations in stalagmites from northwestern Sweden document climate and environmental changes during the early Holocene, The Holocene, 17(2), 259–267, 2007.",10.1177/0959683607073292
67,"Linge, H., Baker, A., Andersson, C. and Lauritzen, S.-E.: Variability in luminescent lamination and initial 230 Th/232 Th activity ratios in a late Holocene stalagmite from northern Norway, Quat. Geochronol., 4(3), 181–192, 2009.",10.1016/j.quageo.2009.01.009
68,"Oster, J. L., Montañez, I. P., Santare, L. R., Sharp, W. D., Wong, C. and Cooper, K. M.: Stalagmite records of hydroclimate in central California during termination 1, Quat. Sci. Rev., 127, 199–214, 2015.",10.1016/j.quascirev.2015.07.027
69,"Oster, J. L., Montañez, I. P., Sharp, W. D. and Cooper, K. M.: Late Pleistocene California droughts during deglaciation and Arctic warming, Earth Planet. Sci. Lett., 288(3–4), 434–443, 2009.",10.1016/j.epsl.2009.10.003
70,"Wong, C. I., Banner, J. L. and Musgrove, M.: Holocene climate variability in Texas, USA: An integration of existing paleoclimate data and modeling with a new, high-resolution speleothem record, Quat. Sci. Rev., 127, 155–173, 2015.",10.1016/j.quascirev.2015.06.023
71,"Jaqueto, P., Trindade, R. I. F., Hartmann, G. A., Novello, V. F., Cruz, F. W., Karmann, I., Strauss, B. E. and Feinberg, J. M.: Linking speleothem and soil magnetism in the Pau d’Alho cave (central South America), J. Geophys. Res. Solid Earth, 121(10), 7024–7039, 2016.",10.1002/2016jb013541
72,"Daley, T. J., Thomas, E. R., Holmes, J. A., Street-Perrott, F. A., Chapman, M. R., Tindall, J. C., Valdes, P. J., Loader, N. J., Marshall, J. D., Wolff, E. W., Hopley, P. J., Atkinson, T., Barber, K. E., Fisher, E. H., Robertson, I., Hughes, P. D. M. and Roberts, C. N.: The 8200yr BP cold event in stable isotope records from the North Atlantic region, Glob. Planet. Change, 79(3–4), 288–302, 2011.",10.1016/j.gloplacha.2011.03.006
73,"Atkinson, T.C. and Hopley, P.J.: Speleothems and Palaeoclimates. Chapter 5 in Caves and Karst of the Yorkshire Dales (eds. Waltham and Lowe), British Cave Research Association, Buxton, 181-186, 2013.",10.1002/gj.2524
74,"Sinha, A., Kathayat, G., Cheng, H., Breitenbach, S. F. M., Berkelhammer, M., Mudelsee, M., Biswas, J. and Edwards, R. L.: Trends and oscillations in the Indian summer monsoon rainfall over the last two millennia, Nat. Commun., 6(1), 2015.",10.1038/ncomms7309
75,"Luetscher, M., Boch, R., Sodemann, H., Spötl, C., Cheng, H., Edwards, R. L., Frisia, S., Hof, F. and Müller, W.: North Atlantic storm track changes during the Last Glacial Maximum recorded by Alpine speleothems, Nat. Commun., 6(1), 6344, 2015.",10.1038/ncomms7344
76,"Psomiadis, D., Dotsika, E., Albanakis, K., Ghaleb, B. and Hillaire-Marcel, C.: Speleothem record of climatic changes in the northern Aegean region (Greece) from the Bronze Age to the collapse of the Roman Empire, Palaeogeogr. Palaeoclimatol. Palaeoecol., 489, 272–283, 2018.",10.1016/j.palaeo.2017.10.021
77,"Fohlmeister, J., Vollweiler, N., Spötl, C. and Mangini, A.: COMNISPA II: Update of a mid-European isotope climate record, 11 ka to present, The Holocene, 23(5), 749–754, 2013.",10.1177/0959683612465446
78,"Zhou, H., Zhao, J., Zhang, P., Shen, C.-C., Chi, B., Feng, Y., Lin, Y., Guan, H. and You, C.-F.: Decoupling of stalagmite-derived Asian summer monsoon records from North Atlantic temperature change during marine oxygen isotope stage 5d, Quat. Res., 70(2), 315–321, 2008.",10.1016/j.yqres.2008.04.007
79,"Partin, J. W., Quinn, T. M., Shen, C.-C., Emile-Geay, J., Taylor, F. W., Maupin, C. R., Lin, K., Jackson, C. S., Banner, J. L., Sinclair, D. J. and Huh, C.-A.: Multidecadal rainfall variability in South Pacific Convergence Zone as revealed by stalagmite geochemistry, Geology, 41(11), 1143–1146, 2013.",10.1130/g34718.1
80,"Sinha, A., Cannariato, K. G., Stott, L. D., Li, H.-C., You, C.-F., Cheng, H., Edwards, R. L. and Singh, I. B.: Variability of Southwest Indian summer monsoon precipitation during the Bølling-Ållerød, Geology, 33(10), 813, 2005.",10.1130/g21498.1
81,"Medina-Elizalde, M., Burns, S. J., Lea, D. W., Asmerom, Y., von Gunten, L., Polyak, V., Vuille, M. and Karmalkar, A.: High resolution stalagmite climate record from the Yucatán Peninsula spanning the Maya terminal classic period, Earth Planet. Sci. Lett., 298(1–2), 255–262, 2010.",10.1016/j.epsl.2010.08.016
82,"Sinha, A., Berkelhammer, M., Stott, L., Mudelsee, M., Cheng, H. and Biswas, J.: The leading mode of Indian Summer Monsoon precipitation variability during the last millennium, Geophys. Res. Lett., 38(15), n/a--n/a, 2011.",10.1029/2011gl047713
83,"Meckler, A. N., Clarkson, M. O., Cobb, K. M., Sodemann, H. and Adkins, J. F.: Interglacial Hydroclimate in the Tropical West Pacific Through the Late Pleistocene, Science (80-. )., 336(6086), 1301–1304, 2012.",10.1126/science.1218340
84,"Frumkin, A., Ford, D. C. and Schwarcz, H. P.: Paleoclimate and vegetation of the Last Glacial Cycles in Jerusalem from a Speleothem Record, Global Biogeochem. Cycles, 14(3), 863–870, 2000.",10.1029/1999gb001245
85,"Frumkin, A., Ford, D. C. and Schwarcz, H. P.: Continental Oxygen Isotopic Record of the Last 170,000 Years in Jerusalem, Quat. Res., 51(3), 317–327, 1999.",10.1006/qres.1998.2031
86,"Duan, W., Cheng, H., Tan, M. and Edwards, R. L.: Onset and duration of transitions into Greenland Interstadials 15.2 and 14 in northern China constrained by an annually laminated stalagmite, Sci. Rep., 6(1), 2016.",10.1038/srep20844
87,"Arienzo, M. M., Swart, P. K., Broad, K., Clement, A. C., Pourmand, A. and Kakuk, B.: Multi-proxy evidence of millennial climate variability from multiple Bahamian speleothems, Quat. Sci. Rev., 161, 18–29, 2017.",10.1016/j.quascirev.2017.02.004
88,"Arienzo, M. M., Swart, P. K., Pourmand, A., Broad, K., Clement, A. C., Murphy, L. N., Vonhof, H. B. and Kakuk, B.: Bahamian speleothem reveals temperature decrease associated with Heinrich stadials, Earth Planet. Sci. Lett., 430, 377–386, 2015.",10.1016/j.epsl.2015.08.035
89,"Demény, A., Kern, Z., Czuppon, G., Németh, A., Leél-Őssy, S., Siklósy, Z., Lin, K., Hu, H.-M., Shen, C.-C., Vennemann, T. W. and Haszpra, L.: Stable isotope compositions of speleothems from the last interglacial – Spatial patterns of climate fluctuations in Europe, Quat. Sci. Rev., 161, 68–80, 2017.",10.1016/j.quascirev.2017.02.012
90,"Drăguşin, V., Staubwasser, M., Hoffmann, D. L., Ersek, V., Onac, B. P. and Veres, D.: Constraining Holocene hydrological changes in the Carpathian–Balkan region using speleothem δ18O and pollen-based temperature reconstructions, Clim. Past, 10(4), 1363–1380, 2014.",10.5194/cp-10-1363-2014
91,"Couchoud, I., Genty, D., Hoffmann, D., Drysdale, R. and Blamart, D.: Millennial-scale climate variability during the Last Interglacial recorded in a speleothem from south-western France, Quat. Sci. Rev., 28(27–28), 3263–3274, 2009.",10.1016/j.quascirev.2009.08.014
92,"Talma, A. S. and Vogel, J. C.: Late Quaternary Paleotemperatures Derived from a Speleothem from Cango Caves, Cape Province, South Africa, Quat. Res., 37(2), 203–213, 1992.",10.1016/0033-5894(92)90082-t
93,"Vogel, J. C.: 14C Variations During the Upper Pleistocene, Radiocarbon, 25(2), 213–218, 1983.",10.1017/s0033822200005506
94,"Feng, W., Hardt, B. F., Banner, J. L., Meyer, K. J., James, E. W., Musgrove, M., Edwards, R. L., Cheng, H. and Min, A.: Changing amounts and sources of moisture in the U.S. southwest since the Last Glacial Maximum in response to global climate change, Earth Planet. Sci. Lett., 401, 47–56, 2014.",10.1016/j.epsl.2014.05.046
95,"Lachniet, M. S.: A 1500-year El Niño/Southern Oscillation and rainfall history for the Isthmus of Panama from speleothem calcite, J. Geophys. Res., 109(D20), 2004.",10.1029/2004jd004694
96,"Ünal-İmer, E., Shulmeister, J., Zhao, J.-X., Tonguç Uysal, I., Feng, Y.-X., Duc Nguyen, A. and Yüce, G.: An 80 kyr-long continuous speleothem record from Dim Cave, SW Turkey with paleoclimatic implications for the Eastern Mediterranean, Sci. Rep., 5(1), 13560, 2015.",10.1038/srep13560
97,"Li, T.-Y., Shen, C.-C., Li, H.-C., Li, J.-Y., Chiang, H.-W., Song, S.-R., Yuan, D.-X., Lin, C. D.-J., Gao, P., Zhou, L., Wang, J.-L., Ye, M.-Y., Tang, L.-L. and Xie, S.-Y.: Oxygen and carbon isotopic systematics of aragonite speleothems and water in Furong Cave, Chongqing, China, Geochim. Cosmochim. Acta, 75(15), 4140–4156, 2011.",10.1016/j.gca.2011.04.003
